"nombre","docente","lugar","marca","clase","cantidadValor","cantidadUnidad","fechaDeVencimiento","Gabinete","codigo","hDes"
"Acrilamida",,"BOD","Sigma Aldrich",6.1,1,"Kg",,"A","BOD-6.1-A-4","https://drive.google.com/file/d/1ABJBO6C5vpgmqGgZyacvzhfpPjz4iw2Y/view?usp=drive_link"
"Timerosal",,"BOD","Sigma Aldrich",6.1,10,"g",,"A","BOD-6.1-A-5","https://drive.google.com/file/d/1Qf-rif9ghpAKKsz5KH484EHfNrkWrr59/view?usp=drive_link"
"Floruro de Sodio",,"BOD","merck",6.1,100,"g",,"A","BOD-6.1-A-7","https://drive.google.com/file/d/1aOF8G-p2rclH-OSlTrs5Zg1T3i1k5uAA/view?usp=drive_link"
"Azida de sodio",,"BOD","Sigma Aldrich",6.1,100,"g",,"A","BOD-6.1-A-10","https://drive.google.com/file/d/1B6Dw8q7DpQEr27l3UKf0AWZLJwSBDVY9/view?usp=drive_link"
"sodio dodecilsulfato ",,"BOD","omnipur",4.1,500,"g",05/16/15,"A","BOD-4.1-A-1","https://drive.google.com/file/d/1INM_twWM3MZ-DOlELRkuLs_NucAHfQSg/view?usp=drive_link"
"sodio dodecilsulfato ",,"BOD","Biorad",4.1,1,"Kg",,"A","BOD-4.1-A-2","https://drive.google.com/file/d/1ah88WauwPALzTiMOSpQeFmyZTL4dUfr8/view?usp=drive_link"
"Natrium Laurilsulfato (SDS)",,"BOD","Biorad",4.1,1,"Kg",,"A","BOD-4.1-A-3","https://drive.google.com/file/d/1ah88WauwPALzTiMOSpQeFmyZTL4dUfr8/view?usp=drive_link"
"Sodio borohidruro",,"BOD","Merck",4.1,100,"g",,"A","BOD-4.1-A-4","https://drive.google.com/file/d/1sI5CODGopudJfLdio3OOtK2mcUa4K8mD/view?usp=drive_link"
"sodio dodecilsulfato ","Enrique Guzman","BOD","Fermelo",4.1,500,"g",12/01/24,"A","BOD-4.1-A-5","https://drive.google.com/file/d/11clH5FfSw_aVXb3V88WJUWvnHtjQ7wKy/view?usp=drive_link"
"Paraformaldehido",,"BOD","Merck",4.1,1,"Kg",,"A","BOD-4.1-A-6","https://drive.google.com/file/d/1cWZWSxKcPHnqADnlZJNlT_oeHuzgmwow/view?usp=drive_link"
"sodio dodecilsulfato ","Enrique Guzman","BOD","Merck",4.1,100,"g",,"A","BOD-4.1-A-7","https://drive.google.com/file/d/11clH5FfSw_aVXb3V88WJUWvnHtjQ7wKy/view?usp=drive_link"
"Sulfato de Cobre (ll) pentahidratado",,"BOD","Merck",9,1,"Kg",05/31/19,"A","BOD-9-A-1","https://drive.google.com/file/d/1zbaX2TnneP8MUQpH2rmyqDnvnMMNuXou/view?usp=drive_link"
"Sulfato de Cobre (ll) pentahidratado",,"BOD","Merck",9,1,"Kg",05/31/19,"A","BOD-9-A-2","https://drive.google.com/file/d/1zbaX2TnneP8MUQpH2rmyqDnvnMMNuXou/view?usp=drive_link"
"Sulfato de Cobre (ll) pentahidratado",,"BOD","Chemix",9,250,"g",10/17/27,"A","BOD-9-A-3","https://drive.google.com/file/d/1zbaX2TnneP8MUQpH2rmyqDnvnMMNuXou/view?usp=drive_link"
"Titriplex ll",,"BOD","Merck",9,1,"Kg",,"A","BOD-9-A-4","https://drive.google.com/file/d/1rUEzKXVvnH80gj2VTSxT1exII2MWCII_/view?usp=drive_link"
"Naftol-2",,"BOD","Merck",9,100,"g",,"A","BOD-9-A-5","https://drive.google.com/file/d/18oYepBFDqo8DPpvOyEODfkPiF85Cz2Cd/view?usp=drive_link"
"violeta de gemsiana B",,"BOD","Merck",9,100,"g",,"A","BOD-9-A-6","https://drive.google.com/file/d/1rNMxru8ejGDUiY1mmYHHsujwRw4qYXyq/view?usp=drive_link"
"Triton X100",,"BOD","Sigma Aldrich",9,500,"mL",,"A","BOD-9-A-7","https://drive.google.com/file/d/1PyIFmDUI83Afc8fbGnJ-Bn37NLE-CeYJ/view?usp=drive_link"
"negro de eriocromo T",,"BOD","Merck",9,10,"g",,"A","BOD-9-A-8","https://drive.google.com/file/d/15tMcoE53QEH9Vt2H15290x5q2pQciE3K/view?usp=drive_link"
"Metil violeta",,"BOD","Merck",9,25,"g",,"A","BOD-9-A-9","https://drive.google.com/file/d/1ZLmDronc8310t0TfF407XYxZb42gSxnm/view?usp=drive_link"
"Cromato de potasio",,"BOD","Merck",9,250,"g",,"A","BOD-9-A-10","https://drive.google.com/file/d/1NX1Wbahxy_eNbyws-210KG9gL1AcvtJG/view?usp=drive_link"
"Cristal violeta",,"BOD","Merck",9,25,"g",,"A","BOD-9-A-11","https://drive.google.com/file/d/11d6quhbJ0htOeJnMoTUe8p3UzUPVoAF9/view?usp=drive_link"
"yoduro de sodio purisimo",,"BOD","Merck",9,250,"g",,"A","BOD-9-A-12","https://drive.google.com/file/d/1w6ZPfQRPgtNE_gf4PU8B6ZXolZXrUC8m/view?usp=drive_link"
"Bencidina",,"BOD","Merck",6.1,25,"g",,"A","BOD-6.1-A-11","https://drive.google.com/file/d/1qw6H1zqLHU-XUSDXyEfm_GHkltkdh38R/view?usp=drive_link"
"Fenilmetilsulfonil fluoruro",,"BOD","Sigma Aldrich",6.1,1,"g",,"A","BOD-6.1-A-12","https://drive.google.com/file/d/1VLiOSe6SgEbQfO_phC7qNaLi19cJ4TmZ/view?usp=drive_link"
"Fenilmetilsulfonil fluoruro",,"BOD","Sigma Aldrich",6.1,1,"g",,"A","BOD-6.1-A-13","https://drive.google.com/file/d/1VLiOSe6SgEbQfO_phC7qNaLi19cJ4TmZ/view?usp=drive_link"
"Carbonato de Amonio",,"BOD","Sigma Aldrich",6.1,1,"Kg",,"A","BOD-6.1-A-15","https://drive.google.com/file/d/1YAlkaSani2tO0immmvEMLO6FYYP_eIrg/view?usp=drive_link"
"Diclorhidrato de hidrazina",,"BOD","merck",6.1,100,"g",,"A","BOD-6.1-A-16","https://drive.google.com/file/d/1Qz_ia1v7HX5nyJNI2V986494OyQJw8zm/view?usp=drive_link"
"Cromato de potasio",,"BOD","merck",6.1,250,"g",,"A","BOD-6.1-A-17","https://drive.google.com/file/d/1-Xz-IJ_zB2CIBamqckSEQNvweECW2ZGT/view?usp=drive_link"
"Hidroquinona","Andrea Sanchez","BOD","Sigma Aldrich",6.1,100,"g",,"A","BOD-6.1-A-18","https://drive.google.com/file/d/1qmmQg5GRReXoIzlCGpIjuKsbMiE0LD7p/view?usp=drive_link"
"1-Naftol",,"BOD","Merck",6.1,100,"g",,"A","BOD-6.1-A-19","https://drive.google.com/file/d/1bh8LV8seXeyCSQuKeK167PSPpCthIDVO/view?usp=drive_link"
"Naranja de metilo",,"BOD","Merck",6.1,100,"g",,"A","BOD-6.1-A-20","https://drive.google.com/file/d/1RwMZrwypoFAx95sIf6ksfTPjMJs7u6Tm/view?usp=drive_link"
"Nitroprusiato de sodio Cristales",,"BOD","Merck",6.1,100,"g",,"A","BOD-6.1-A-21","https://drive.google.com/file/d/11HZ4CJroazlPImZ05sy5B2yPlIYC49Rw/view?usp=drive_link"
"Acetonitrilo",,"BOD","Omnisolv",3,4,"L",,"C","BOD-3-C-1","https://drive.google.com/file/d/1qH1NQvpXDY2D0nH0LnmxRqMLutQqQq1y/view?usp=drive_link"
"Acetonitrilo",,"BOD","Merck",3,1,"L",,"C","BOD-3-C-2","https://drive.google.com/file/d/1TQ775xLidnMSl5kjFIDGCFjwIsX3Sk_x/view?usp=drive_link"
"Acetonitrilo","Lia olivares","BOD","Merck",3,2.5,"L",04/30/27,"C","BOD-3-C-3","https://drive.google.com/file/d/1TQ775xLidnMSl5kjFIDGCFjwIsX3Sk_x/view?usp=drive_link"
"Acetonitrilo","Lia olivares","BOD","Merck",3,2.5,"L",04/30/27,"C","BOD-3-C-4","https://drive.google.com/file/d/1TQ775xLidnMSl5kjFIDGCFjwIsX3Sk_x/view?usp=drive_link"
"May grünwald solución ",,"BOD","Chemix",3,1,"L",04/30/26,"C","BOD-3-C-5","https://drive.google.com/file/d/1oGBGAMORp13MiXQbHmgsS4-vfCwG3Ahj/view?usp=drive_link"
"May grünwald solución ",,"BOD","Chemix",3,1,"L",04/30/26,"C","BOD-3-C-6","https://drive.google.com/file/d/1oGBGAMORp13MiXQbHmgsS4-vfCwG3Ahj/view?usp=drive_link"
"Giemsa solución (Azur - eosina con azul de metileno en sol)",,"BOD","Merck",3,2.5,"L",,"C","BOD-3-C-7","https://drive.google.com/file/d/1yQgctTSpI4zjM6oYuCqRQxkDp_4_xH4E/view?usp=drive_link"
